first,second,distance
0,1,136.0
0,2,127.0
0,3,75.0
0,4,28.0
0,5,11.0
0,6,98.0
0,7,121.0
0,8,160.0
0,9,155.0
0,10,103.0
0,11,129.0
0,12,154.0
0,13,182.0
0,14,206.0
0,15,50.0
0,16,152.0
0,17,119.0
0,18,154.0
0,19,191.0
0,20,201.0
0,21,183.0
0,22,220.0
0,23,41.0
1,2,9.0
1,3,62.0
1,4,108.0
1,5,147.0
1,6,38.0
1,7,15.0
1,8,24.0
1,9,19.0
1,10,33.0
1,11,7.0
1,12,291.0
1,13,46.0
1,14,70.0
1,15,187.0
1,16,289.0
1,17,256.0
1,18,291.0
1,19,55.0
1,20,65.0
1,21,47.0
1,22,84.0
1,23,177.0
2,3,53.0
2,4,99.0
2,5,138.0
2,6,29.0
2,7,6.0
2,8,33.0
2,9,28.0
2,10,24.0
2,11,2.0
2,12,282.0
2,13,55.0
2,14,79.0
2,15,178.0
2,16,280.0
2,17,247.0
2,18,282.0
2,19,64.0
2,20,74.0
2,21,56.0
2,22,93.0
2,23,168.0
3,4,46.0
3,5,85.0
3,6,23.0
3,7,47.0
3,8,86.0
3,9,81.0
3,10,29.0
3,11,55.0
3,12,229.0
3,13,107.0
3,14,131.0
3,15,125.0
3,16,227.0
3,17,194.0
3,18,229.0
3,19,116.0
3,20,127.0
3,21,108.0
3,22,145.0
3,23,116.0
4,5,39.0
4,6,70.0
4,7,93.0
4,8,132.0
4,9,127.0
4,10,75.0
4,11,101.0
4,12,182.0
4,13,154.0
4,14,178.0
4,15,78.0
4,16,180.0
4,17,147.0
4,18,182.0
4,19,163.0
4,20,173.0
4,21,155.0
4,22,192.0
4,23,69.0
5,6,109.0
5,7,132.0
5,8,171.0
5,9,166.0
5,10,114.0
5,11,140.0
5,12,143.0
5,13,193.0
5,14,217.0
5,15,39.0
5,16,141.0
5,17,108.0
5,18,143.0
5,19,202.0
5,20,212.0
5,21,194.0
5,22,231.0
5,23,30.0
6,7,24.0
6,8,63.0
6,9,58.0
6,10,5.0
6,11,31.0
6,12,252.0
6,13,84.0
6,14,108.0
6,15,148.0
6,16,250.0
6,17,217.0
6,18,252.0
6,19,93.0
6,20,104.0
6,21,85.0
6,22,122.0
6,23,139.0
7,8,39.0
7,9,34.0
7,10,18.0
7,11,8.0
7,12,276.0
7,13,60.0
7,14,85.0
7,15,172.0
7,16,274.0
7,17,241.0
7,18,276.0
7,19,69.0
7,20,80.0
7,21,61.0
7,22,98.0
7,23,162.0
8,9,5.0
8,10,57.0
8,11,31.0
8,12,315.0
8,13,21.0
8,14,46.0
8,15,211.0
8,16,313.0
8,17,280.0
8,18,315.0
8,19,30.0
8,20,41.0
8,21,22.0
8,22,59.0
8,23,201.0
9,10,52.0
9,11,26.0
9,12,310.0
9,13,26.0
9,14,50.0
9,15,206.0
9,16,308.0
9,17,275.0
9,18,310.0
9,19,35.0
9,20,46.0
9,21,27.0
9,22,64.0
9,23,196.0
10,11,26.0
10,12,257.0
10,13,79.0
10,14,103.0
10,15,153.0
10,16,255.0
10,17,222.0
10,18,257.0
10,19,88.0
10,20,98.0
10,21,80.0
10,22,117.0
10,23,144.0
11,12,283.0
11,13,53.0
11,14,77.0
11,15,179.0
11,16,281.0
11,17,248.0
11,18,283.0
11,19,62.0
11,20,72.0
11,21,54.0
11,22,91.0
11,23,170.0
12,13,92.0
12,14,117.0
12,15,140.0
12,16,242.0
12,17,209.0
12,18,244.0
12,19,101.0
12,20,112.0
12,21,93.0
12,22,130.0
12,23,130.0
13,14,24.0
13,15,232.0
13,16,334.0
13,17,301.0
13,18,336.0
13,19,9.0
13,20,20.0
13,21,1.0
13,22,38.0
13,23,223.0
14,15,256.0
14,16,358.0
14,17,325.0
14,18,360.0
14,19,15.0
14,20,5.0
14,21,23.0
14,22,14.0
14,23,247.0
15,16,114.0
15,17,81.0
15,18,116.0
15,19,241.0
15,20,252.0
15,21,233.0
15,22,270.0
15,23,9.0
16,17,163.0
16,18,2.0
16,19,343.0
16,20,354.0
16,21,335.0
16,22,372.0
16,23,111.0
17,18,157.0
17,19,302.0
17,20,313.0
17,21,294.0
17,22,331.0
17,23,70.0
18,19,345.0
18,20,356.0
18,21,337.0
18,22,374.0
18,23,113.0
19,20,11.0
19,21,8.0
19,22,29.0
19,23,232.0
20,21,18.0
20,22,19.0
20,23,242.0
21,22,37.0
21,23,224.0
22,23,261.0
